"Keyword Phrase","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"iphone 15 pro power bank","-",35,104,-32,1.46,1.25,1.76,144,3000,1,0,0,0,0,0,0,0,0,"-","-",41
"iphone battery pack magnetic","-",42,253,3,,,,250,6000,1,0,0,0,0,0,0,0,0,"-","-",41
"magsafe wireless charger android","-",289,289,23,,,,283,1000,1,0,0,0,0,0,0,0,0,"-","-",41
"anker maggo magnetic charging station (8-in-1)","-",48,12,-31,,,,34,249,1,0,0,0,0,0,0,0,0,"-","-",41
"anker 523 powercore portable charger","-",96,18,-57,,,,52,187,1,0,0,0,0,0,0,0,0,"-","-",41
"30w magsafe wireless charger","-",611,331,-4,,,,235,542,1,0,0,0,0,0,0,0,0,"-","-",41
"slim magnetic portable charger for iphone","-",127,127,-5,,,,208,1000,1,0,0,0,0,0,0,0,0,"-","-",41
"belkin 10k power bank","-",1503,278,-5,1.48,0.97,2.14,168,185,1,0,0,0,0,0,0,0,0,"-","-",41
"anker prime power bank 12000mah 130w","-",1397,183,-36,,,,161,131,1,0,0,0,0,0,0,0,0,"-","-",41
"battery pack iphone magsafe","-",27,80,-34,,,,181,3000,1,0,0,0,0,0,0,0,0,"-","-",41
"anchor 548 power bank","-",3463,284,-13,,,,80,82,1,0,0,0,0,0,0,0,0,"-","-",41
"iphone charger portable",47,239,2392,16,1.33,1.07,2.09,624,10000,1,0,0,0,0,1,0,0,0,"-","-",42
"portable chargers anker","-",34,67,-38,,,,34,2000,1,0,0,0,0,0,0,0,0,"-","-",42
"portable phone battery pack","-",9,268,-2,1.21,0.93,1.52,326,30000,1,0,0,0,0,0,0,0,0,"-","-",42
"charger pack",45,14,1408,15,1.3,0.88,1.65,807,100000,1,0,0,0,0,0,0,0,0,"-","-",42
"10000 mah","-",108,324,9,,,,295,3000,1,0,0,0,0,0,0,0,0,"-","-",42
"magsafe for iphone","-",5,233,-10,,,,289,50000,1,0,0,0,0,0,0,0,0,"-","-",42
"anker replacement battery","-",2681,244,109,,,,14,91,1,0,0,0,0,0,0,0,0,"-","-",42
"wireless battery pack",14,9,873,8,1.45,0.94,1.46,366,100000,1,0,0,0,0,0,0,0,0,"-","-",42
"industrial power bank","-",27,27,-40,,,,61,1000,1,0,0,0,0,0,0,0,0,"-","-",42
"anker power core portable charger","-",490,189,7,,,,160,386,1,0,0,0,0,0,0,0,0,"-","-",42
"pd battery bank anker","-",235,152,-17,,,,150,648,1,0,0,0,0,0,0,0,0,"-","-",42
"magnetic charging bank",15,90,448,31,1.13,0.89,1.62,347,5000,1,0,0,0,0,1,0,0,0,"-","-",42
"mag safe accessories",47,92,2773,49,0.98,0.9,1.84,581,30000,1,0,0,0,0,0,0,0,0,"-","-",42
"anker usb c charger portable battery","-",124,124,28,,,,61,1000,1,0,0,0,0,0,0,0,0,"-","-",42
"casely magsafe battery pack","-",706,204,-18,,,,175,289,1,0,0,0,0,0,0,0,0,"-","-",42
"apple magsafe accessory","-",0,38,-30,,,,86,100000,1,0,0,0,0,0,0,0,0,"-","-",42
"banco de energia portatil para iphone","-",282,223,-8,,,,223,791,1,0,0,0,0,0,0,0,0,"-","-",42
"magnetic portable charger 10800mah","-",184,54,-41,,,,91,293,1,0,0,0,0,0,0,0,0,"-","-",42
"power bank wireless charger iphone","-",4,24,25,,,,121,6000,1,0,0,0,0,0,0,0,0,"-","-",42
"iniu magnetic power bank","-",850,322,6,1.28,0.98,1.74,194,379,1,0,0,0,0,0,0,0,0,"-","-",42
"anker power bank solix f3800","-",2394,249,-65,1.68,1.05,1.96,139,104,1,0,0,0,0,0,0,0,0,"-","-",42
"portable battery",213,86,8558,1,1.48,0.92,1.95,704,100000,1,0,1,0,0,0,0,0,0,31,"-",43
"magnet phone charger",57,82,1633,1,1.19,0.86,1.85,595,20000,1,0,0,0,0,0,0,0,0,"-","-",43
"power bank anker 26800","-",1050,230,21,,,,79,219,1,0,0,0,0,0,0,0,0,"-","-",43
"portable power bank anker",6,394,394,4,0.84,0.74,0.95,225,1000,1,0,0,0,0,0,0,0,0,"-","-",43
"anker usb c battery",8,364,364,1,1.12,0.79,1.15,185,1000,1,0,0,0,0,0,0,0,0,"-","-",43
"power magnets","-","-",0,"-",,,,215,4000,1,0,0,0,0,0,0,0,0,"-","-",43
"battery backup for iphone","-",96,192,-24,1.41,1.34,1.92,247,2000,1,0,0,0,0,0,0,0,0,"-","-",43
"mighty mag",5,4630,500,5,1.4,0.98,1.73,215,108,1,0,0,0,0,0,0,0,0,"-","-",43
"wireless magnetic phone charger","-",9,183,12,,,,253,20000,1,0,0,0,0,0,0,0,0,"-","-",43
"bank one","-",16,164,-11,,,,219,10000,1,0,0,0,0,0,0,0,0,"-","-",43
"anker powerstation","-",532,295,-13,1.51,1.13,1.89,214,555,1,0,0,0,0,0,0,0,0,"-","-",43
"battery packs iphone","-",29,228,21,,,,187,8000,1,0,0,0,0,0,0,0,0,"-","-",43
"phone assoceries","-","-",0,"-",,,,169,100000,1,0,0,0,0,0,0,0,0,"-","-",43
"magnetic phone chatger","-","-",0,"-",,,,194,20000,1,0,0,0,0,0,0,0,0,"-","-",43
"iphone attach","-","-",0,"-",,,,186,20000,1,0,0,0,0,0,0,0,0,"-","-",43
"batterie anker","-",8,15,-63,,,,119,2000,1,0,0,0,0,0,0,0,0,"-","-",43
"portable chargwr",11,6,447,8,1.3,0.96,1.7,339,80000,1,0,0,0,0,0,0,0,0,"-","-",43
"anker charger for iphone 12","-",206,206,-26,,,,269,1000,1,0,0,0,0,0,0,0,0,"-","-",43
"anker iphone 12 pro charger","-",288,288,29,,,,118,1000,1,0,0,0,0,0,0,0,0,"-","-",43
"anker prime power","-",34,201,11,,,,128,6000,1,0,0,0,0,0,0,0,0,"-","-",43
"magnetic iphone power bank","-",198,198,-32,,,,236,1000,1,0,0,0,0,0,0,0,0,"-","-",43
"battery pack charger portable wireless","-",0,47,13,,,,83,100000,1,0,0,0,0,0,0,0,0,"-","-",43
"phone charger battery pack portable magnetic","-",74,148,-20,,,,285,2000,1,0,0,0,0,0,0,0,0,"-","-",43
"powerbank for iphone 15 pro max","-",258,258,110,,,,60,1000,1,0,0,0,0,0,0,0,0,"-","-",43
"anker 20,000",2,1115,310,106,1.17,0.97,1.32,186,278,1,0,0,0,0,0,0,0,0,"-","-",43
"rorry magsafe portable charger","-",969,252,-11,1.09,0.94,1.24,134,260,1,0,0,0,0,0,0,0,0,"-","-",43
"magsafe charger qi2 certified","-",282,97,19,,,,119,344,1,0,0,0,0,0,0,0,0,"-","-",43
"power bank iphone 16 pro","-",75,75,-47,,,,208,1000,1,0,0,0,0,0,0,0,0,"-","-",43
"belkin pro magsafe charger","-",446,228,-7,1.18,0.6,1.48,227,511,1,0,0,0,0,0,0,0,0,"-","-",43
"anker nano 3-in-1 power bank","-",1730,346,31,,,,114,200,1,0,0,0,0,0,0,0,0,"-","-",43
"statik snap-n-charge power bank","-",746,144,-27,,,,116,193,1,0,0,0,0,0,0,0,0,"-","-",43
"anker 25,000 mah power bank","-",322,150,-37,,,,231,466,1,0,0,0,0,0,0,0,0,"-","-",43
"magnetic phone charger",492,774,15488,16,1.03,0.66,1.59,664,20000,1,0,1,0,0,0,0,0,0,61,"-",44
"slim portable power bank","-",130,260,10,,,,240,2000,1,0,0,0,0,0,0,0,0,"-","-",44
"external battery anker","-",477,309,4,,,,239,648,1,0,0,0,0,0,0,0,0,"-","-",44
"anker power bank type c","-",152,135,-42,1.25,0.94,1.52,198,887,1,0,0,0,0,0,0,0,0,"-","-",44
"anker laptop power bank",106,9593,4835,64,1.37,1.26,1.69,333,504,1,0,0,0,0,0,0,0,0,"-","-",44
"samsung power bank case","-",162,127,-33,,,,63,786,1,0,0,0,0,0,0,0,0,"-","-",44
"portable charger wireless",22,40,1202,37,1.51,0.92,1.69,380,30000,1,0,0,0,0,0,0,0,0,"-","-",44
"battery iphone pack","-","-",0,"-",,,,171,30000,1,0,0,0,0,0,0,0,0,"-","-",44
"portable wireless charger power bank",7,52,310,2,,,,318,6000,1,0,0,0,0,0,0,0,0,"-","-",44
"anker batteries","-",80,159,-30,,,,203,2000,1,0,0,0,0,0,0,0,0,"-","-",44
"anker phone","-",11,56,-9,,,,60,5000,1,0,0,0,0,0,0,0,0,"-","-",44
"card powerbank","-",201,126,-20,,,,124,627,1,0,0,0,0,0,0,0,0,"-","-",44
"battery powerbank","-",11,78,-41,,,,109,7000,1,0,0,0,0,0,0,0,0,"-","-",44
"portable phone charger wireless","-",1,142,-31,1.51,1.07,1.82,300,100000,1,0,0,0,0,0,0,0,0,"-","-",44
"ankee wireless charger","-",1941,229,6,,,,130,118,1,0,0,0,0,0,0,0,0,"-","-",44
"magsafe accessories",93,444,17763,4,0.67,0.49,1,871,40000,1,0,1,0,0,0,0,0,0,114,"-",44
"anker 325 power bank",6,2034,472,3,1.3,0.86,1.33,203,232,1,0,0,0,0,0,0,0,0,"-","-",44
"mag safe portable charger",102,1257,2513,14,1.36,0.94,1.48,478,2000,1,0,1,0,0,1,0,0,0,48,"-",44
"anker 100w power bank",1,942,419,-8,1.07,1,1.61,191,445,1,0,0,0,0,0,0,0,0,"-","-",44
"magnet power bank iphone",17,481,481,-10,1.34,0.88,1.36,297,1000,1,0,0,0,0,0,0,0,0,"-","-",44
"battery power packs portable","-",12,230,-12,0.78,0.6,0.93,252,20000,1,0,0,0,0,0,0,0,0,"-","-",44
"mag charger iphone portable",9,223,445,-1,1.21,0.89,1.6,325,2000,1,0,0,0,0,0,0,0,0,"-","-",44
"rorry for magsafe portable charger","-",668,167,50,,,,75,250,1,0,0,0,0,0,0,0,0,"-","-",44
"anker power bank solix","-",1373,313,-1,1.71,0.99,2.25,182,228,1,0,0,0,0,0,0,0,0,"-","-",44
"anker zolo power bank, 10,000mah 30w portable charger with built-in usb-c cable for travel, fast cha","-",970,350,7,,,,189,361,1,0,0,0,0,0,0,0,0,"-","-",44
"cargadores portátil","-",6,234,5,,,,297,40000,1,0,0,0,0,0,0,0,0,"-","-",44
"podoru for magsafe battery pack",17,2644,476,26,1.51,1.01,1.73,147,180,1,0,0,0,0,0,0,0,0,"-","-",44
"yiisonger for magsafe battery pack","-",560,141,-29,,,,92,252,1,0,0,0,0,0,0,0,0,"-","-",44
"power bank with magnetic charging","-",55,164,-36,,,,301,3000,1,0,0,0,0,1,0,0,0,"-","-",44
"portable phone charger anker",9,211,421,-11,1.45,1.31,1.85,238,2000,1,0,0,0,0,0,0,0,0,"-","-",45
"iphone battery charger portable",370,1268,8876,18,1.32,0.93,1.89,569,7000,1,0,1,0,0,1,0,0,0,297,"-",45
"wireless charger iphone anker",4,182,364,-12,1.32,0.84,1.7,326,2000,1,0,0,0,0,0,0,0,0,"-","-",45
"iphone power bank charger",73,314,1884,-3,1.37,1.05,2.05,568,6000,1,0,0,0,0,0,0,0,0,"-","-",45
"external iphone battery","-",117,352,2,,,,289,3000,1,0,0,0,0,0,0,0,0,"-","-",45
"ipad pro qi charging","-",284,90,-29,,,,159,317,1,0,0,0,0,0,0,0,0,"-","-",45
"charge on the go","-",190,110,54,,,,204,579,1,0,0,0,0,0,0,0,0,"-","-",45
"power anker","-",52,260,17,,,,288,5000,1,0,0,0,0,0,0,0,0,"-","-",45
"apple battery bank","-",23,232,20,1.38,0.95,1.62,100,10000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker usb powerbank","-",135,121,-3,,,,117,895,1,0,0,0,0,0,0,0,0,"-","-",45
"belkin power bank 10k","-",1197,146,-31,1.15,0.9,1.5,99,122,1,0,0,0,0,0,0,0,0,"-","-",45
"anker'","-",20,159,-39,1.1,0.89,1.39,228,8000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker iphone 14 pro max charger","-",161,161,-4,2.08,1.93,2.36,146,1000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker 20k","-",2213,281,11,1.09,0.88,1.18,102,127,1,0,0,0,0,0,0,0,0,"-","-",45
"anker nano power bank (30w, built-in usb-c cable)","-",1553,233,3,1.07,0.94,1.31,131,150,1,0,0,0,0,0,0,0,0,"-","-",45
"magnetic portable charger for iphone 11","-",167,138,-24,2.96,2.07,3.73,155,824,1,0,0,0,0,0,0,0,0,"-","-",45
"anker charger prime","-",35,139,-2,,,,99,4000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker 20,000 power bank","-",452,270,45,,,,97,598,1,0,0,0,0,0,0,0,0,"-","-",45
"torras minimag power bank, 5,000mah wireless portable charger with usb-c cable, [ultimate slim] fast","-",415,112,-20,,,,91,270,1,0,0,0,0,0,0,0,0,"-","-",45
"belkin qi2 charger","-",767,148,-31,,,,129,193,1,0,0,0,0,0,0,0,0,"-","-",45
"magsafe charger thin","-",4,106,-11,,,,123,30000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker power bank for phone","-",174,174,-28,,,,244,1000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker power bank 25000mah","-",937,295,-20,1.42,0.99,1.79,216,315,1,0,0,0,0,0,0,0,0,"-","-",45
"power bank and charger","-",1,25,34,,,,138,20000,1,0,0,0,0,0,0,0,0,"-","-",46
"portable phone charger power bank",52,142,1418,-13,1.32,0.88,1.95,567,10000,1,0,0,0,0,0,0,0,0,"-","-",46
"powerbank 10000mah","-",233,233,-18,,,,281,1000,1,0,0,0,0,0,0,0,0,"-","-",46
"portable charges","-",1,87,-42,1.51,1.35,1.67,114,70000,1,0,0,0,0,0,0,0,0,"-","-",46
"i phone battery pack","-",14,280,33,,,,329,20000,1,0,0,0,0,1,0,0,0,"-","-",46
"anker usb power bank","-",95,89,-23,,,,87,934,1,0,0,0,0,0,0,0,0,"-","-",46
"anker travel",21,291,873,43,1.53,1.46,1.61,260,3000,1,0,0,0,0,0,0,0,0,"-","-",46
"wallet phone charger","-",9,181,-15,,,,230,20000,1,0,0,0,0,0,0,0,0,"-","-",46
"triple bank","-",660,202,1,,,,95,306,1,0,0,0,0,0,0,0,0,"-","-",46
"anker charger iphone 11","-",107,93,-37,,,,169,870,1,0,0,0,0,0,0,0,0,"-","-",46
"best battery pack charger portable","-",4,152,-35,1.82,1.35,2.7,161,40000,1,0,0,0,0,0,0,0,0,"-","-",46
"phone charge card","-",29,147,-30,,,,198,5000,1,0,0,0,0,0,0,0,0,"-","-",46
"iphone magsafe stand anker","-",138,84,-51,,,,164,610,1,0,0,0,0,0,0,0,0,"-","-",46
"wireless powerbank for samsung","-",265,265,10,,,,255,1000,1,0,0,0,0,0,0,0,0,"-","-",46
"20000mah magsafe power bank","-",735,297,26,,,,193,404,1,0,0,0,0,0,0,0,0,"-","-",46
"power bank slim fast charging","-",287,287,-4,,,,344,1000,1,0,0,0,0,0,0,0,0,"-","-",46
"battery pack for iphone magnetic","-",19,115,49,,,,131,6000,1,0,0,0,0,0,0,0,0,"-","-",46
"baseus 6000mah magsafe","-",1626,317,11,,,,124,195,1,0,0,0,0,0,0,0,0,"-","-",46
"momax magnetic power bank","-",222,65,-4,,,,74,293,1,0,0,0,0,0,0,0,0,"-","-",46
"anker 3-in-1 power bank usb c charger block, 10,000mah portable charger with built-in usb-c cable an","-",600,66,-31,,,,33,110,1,0,0,0,0,0,0,0,0,"-","-",46
"power bank magsafe charger 20000","-",599,236,33,,,,234,394,1,0,0,0,0,0,0,0,0,"-","-",46
"iphone 16 pro max power bank",14,591,591,19,1.34,0.91,1.73,349,1000,1,0,0,0,0,0,0,0,0,"-","-",46
"belkin 30w usb-c charger","-",1667,275,14,,,,171,165,1,0,0,0,0,0,0,0,0,"-","-",46
"anker zolo portable charger","-",1915,337,-17,1.54,1.01,2.19,181,176,1,0,0,0,0,0,0,0,0,"-","-",46
"qi2 samsung","-",1803,265,-27,,,,113,147,1,0,0,0,0,0,0,0,0,"-","-",46
"portable battery charger phone","-",19,192,-28,,,,169,10000,1,0,0,0,0,0,0,0,0,"-","-",47
"portable battery 10000mah","-",26,183,-30,,,,274,7000,1,0,0,0,0,0,0,0,0,"-","-",47
"battery pack",877,733,73293,24,1.14,0.71,1.64,710,100000,1,0,1,0,0,1,0,0,0,32,"-",47
"battery backup iphone","-",102,203,-22,,,,277,2000,1,0,0,0,0,0,0,0,0,"-","-",47
"anker wireless charger",232,2962,8887,-3,1.35,0.77,1.8,618,3000,1,0,1,0,0,0,0,0,0,100,"-",47
"mophie battery pack","-",946,297,14,1.22,1.07,1.26,174,314,1,0,0,0,0,0,0,0,0,"-","-",47
"snap charger","-",525,328,5,,,,296,625,1,0,0,0,0,0,0,0,0,"-","-",47
"light weight battery pack","-",2,138,4,,,,126,70000,1,0,0,0,0,0,0,0,0,"-","-",47
"anker charging base",10,2062,1330,"-",1.46,1.31,2.13,429,645,1,0,0,0,0,0,0,0,0,"-","-",47
"large power pack","-",3,266,5,1.62,1.31,2.85,283,100000,1,0,0,0,0,0,0,0,0,"-","-",47
"torras wireless charger","-",2781,317,61,1.12,1.07,1.17,197,114,1,0,0,0,0,0,0,0,0,"-","-",47
"ankers wireless charger","-",107,320,22,,,,226,3000,1,0,0,0,0,0,0,0,0,"-","-",47
"magnetic wireless powerbank","-",33,65,-27,,,,62,2000,1,0,0,0,0,0,0,0,0,"-","-",47
"ankerportable charger","-",56,167,98,,,,107,3000,1,0,0,0,0,0,0,0,0,"-","-",47
"chargeur portable iphone","-","-",0,"-",,,,230,630,1,0,0,0,0,0,0,0,0,"-","-",47
"anker prime",103,1193,8353,-2,1.05,0.81,1.26,421,7000,1,0,1,0,0,0,0,0,0,96,"-",47
"anker 321 power bank","-",2129,364,"-",1.3,0.91,1.37,124,171,1,0,0,0,0,0,0,0,0,"-","-",47
"mag-safe wireless portable charger","-",28,56,-36,0.74,0.7,1.49,107,2000,1,0,0,0,0,0,0,0,0,"-","-",47
"anker 323 usb-c power bank","-",371,119,-25,,,,82,321,1,0,0,0,0,0,0,0,0,"-","-",47
"15w magsafe","-",108,216,-1,,,,356,2000,1,0,0,0,0,0,0,0,0,"-","-",47
"mag portable charger iphone",7,224,447,-1,1.25,0.93,1.57,295,2000,1,0,0,0,0,0,0,0,0,"-","-",47
"anker 548 power bank 60,000mah","-",1114,147,-14,1.08,0.78,1.19,33,132,1,0,0,0,0,0,0,0,0,"-","-",47
"yiisonger magnetic wireless power bank - 10000mah portable charger 22.5w pd fast charging with built","-",274,81,-38,,,,87,296,1,0,0,0,0,0,0,0,0,"-","-",47
"anker 3-1 power bank","-",173,141,-3,1.15,0.96,1.43,45,815,1,0,0,0,0,0,0,0,0,"-","-",47
"anker magsafe charger compatible, anker maggo 3in1 charging station, qi2 certified 15w wireless char","-",352,154,-19,,,,74,437,1,0,0,0,0,0,0,0,0,"-","-",47
"wireless portable charger 10000mah, magnetic power bank with built-in cables led display,mag-safe ba","-",455,135,-13,,,,121,297,1,0,0,0,0,0,0,0,0,"-","-",47
"anker magnetic phone case",1,468,364,28,0.94,0.71,1.03,273,777,1,0,0,0,0,0,0,0,0,"-","-",47
"magsafe charger￼",8,599,395,-4,,,,175,659,1,0,0,0,0,0,0,0,0,"-","-",47
"magnetic power bank for iphone 16","-",180,140,-31,,,,212,776,1,0,0,0,0,0,0,0,0,"-","-",47
"anker powercore 20000mah power bank",9,2265,736,3,1.52,1.18,2.03,169,325,1,0,0,0,0,0,0,0,0,"-","-",47
"torras magnetic portable charger","-",656,274,3,,,,224,418,1,0,0,0,0,0,0,0,0,"-","-",47
"power bank slimline power banks",4,1189,491,5,1.47,0.97,1.53,249,413,1,0,0,0,0,0,0,0,0,"-","-",47
"10000mah battery","-",60,181,7,,,,245,3000,1,0,0,0,0,0,0,0,0,"-","-",48
"torras charger","-",2711,450,6,1.34,1.02,1.72,201,166,1,0,0,0,0,0,0,0,0,"-","-",48
"cool power bank","-",6,39,-42,,,,117,7000,1,0,0,0,0,0,0,0,0,"-","-",48
"anker backup","-",554,257,-11,,,,280,464,1,0,0,0,0,0,0,0,0,"-","-",48
"portable charger max capacity","-",46,228,-6,,,,216,5000,1,0,0,0,0,0,0,0,0,"-","-",48
"anket charger","-",69,275,-4,,,,315,4000,1,0,0,0,0,0,0,0,0,"-","-",48
"battery pacl","-",0,11,-24,,,,220,100000,1,0,0,0,0,0,0,0,0,"-","-",48
"anker charger iphone 12",11,386,386,12,,,,247,1000,1,0,0,0,0,0,0,0,0,"-","-",48
"magsafe portable power bank","-",106,106,-6,,,,146,1000,1,0,0,0,0,0,0,0,0,"-","-",48
"magsafe battery pack apple",1,100,300,13,1.34,0.91,1.79,196,3000,1,0,0,0,0,0,0,0,0,"-","-",48
"portable chsrger",17,7,476,3,1.4,1.08,1.49,347,70000,1,0,0,0,0,0,0,0,0,"-","-",48
"anker power bank 100w","-",732,314,-8,1.35,1.14,1.56,213,429,1,0,0,0,0,0,0,0,0,"-","-",48
"icemag power bank",2,1518,375,-12,1.53,1.06,1.95,231,247,1,0,0,0,0,0,0,0,0,"-","-",48
"power bank magsafe charger","-",74,148,"-",1.39,1.01,1.64,279,2000,1,0,0,0,0,0,0,0,0,"-","-",48
"magsafe charger slim",2,74,445,12,,,,263,6000,1,0,1,0,0,0,0,0,0,305,"-",48
"what's magsafe","-",307,307,8,,,,307,1000,1,0,0,0,0,0,0,0,0,"-","-",48
"battery banks portable","-",27,266,-13,,,,348,10000,1,0,0,0,0,0,0,0,0,"-","-",48
"anker prime power bank 20000","-",205,106,-24,,,,112,517,1,0,0,0,0,0,0,0,0,"-","-",48
"android magnetic portable wireless phone charger","-",225,225,-21,,,,293,1000,1,0,0,0,0,0,0,0,0,"-","-",48
"anker maggo 3 in 1 charger","-",553,239,-11,,,,158,432,1,0,0,0,0,0,0,0,0,"-","-",48
"power bank belkin",3,2057,502,-2,1.33,0.84,1.82,228,244,1,0,0,0,0,0,0,0,0,"-","-",49
"power bank wireless charger",21,182,1818,8,1.29,0.9,1.51,623,10000,1,0,0,0,0,0,0,0,0,"-","-",49
"phone battery portable charger","-","-",0,"-",,,,234,10000,1,0,0,0,0,0,0,0,0,"-","-",49
"mag charger",130,308,3078,13,1.09,0.72,1.64,674,10000,1,0,0,0,0,1,0,0,0,"-","-",49
"compact battery pack","-",2,249,-21,1.35,1.1,1.75,324,100000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker samsung","-",349,349,3,,,,358,1000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker deals","-",14,112,-10,1.19,1.05,1.33,131,8000,1,0,0,0,0,0,0,0,0,"-","-",49
"magnetic phone battery","-",21,208,-1,,,,277,10000,1,0,0,0,0,0,0,0,0,"-","-",49
"poetable charger","-",3,188,-15,,,,243,70000,1,0,0,0,0,0,0,0,0,"-","-",49
"magnetic iphone battery pack",7,57,339,7,1.69,1.19,1.87,283,6000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker poeer","-",50,251,22,,,,124,5000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker cell charger","-",47,233,2,,,,190,5000,1,0,0,0,0,0,0,0,0,"-","-",49
"torras fast wireless charger","-",1004,264,35,,,,98,263,1,0,0,0,0,0,0,0,0,"-","-",49
"anker power core",12,1262,487,12,1.34,1.13,1.78,177,386,1,0,0,0,0,0,0,0,0,"-","-",49
"on the go wireless charger","-",19,192,62,,,,140,10000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker chatger","-",9,36,-3,,,,108,4000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker space","-",339,248,-8,,,,137,732,1,0,0,0,0,0,0,0,0,"-","-",49
"battery pack charger portable magnetic",6,111,332,3,,,,276,3000,1,0,0,0,0,0,0,0,0,"-","-",49
"accessories for iphone 15 pro","-",1,122,-32,1.07,0.67,1.31,353,100000,1,0,0,0,0,0,0,0,0,"-","-",49
"ugreen charger magsafe",2,1399,386,18,1.19,1.12,1.45,116,276,1,0,0,0,0,0,0,0,0,"-","-",49
"anker portable chargers for multiple devices","-",18,18,-17,,,,53,1000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker nano portable","-",170,60,-32,,,,86,353,1,0,0,0,0,0,0,0,0,"-","-",49
"portable wireless magnetic power bank",5,250,500,169,1.22,0.92,1.53,228,2000,1,0,0,0,0,0,0,0,0,"-","-",49
"magsafe 25w",3,2214,434,2,1.05,0.7,1.13,193,196,1,0,0,0,0,0,0,0,0,"-","-",49
"iniu magnetic power bank 6k portable phone charger bi-b7 magsafe",4,1626,465,1,1.51,0.94,1.57,171,286,1,0,0,0,0,0,0,0,0,"-","-",49
"iphone fold","-",26,264,-7,,,,253,10000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker portable charger 325","-",906,145,1,,,,64,160,1,0,0,0,0,0,0,0,0,"-","-",49
"iphone battery pack apple","-",11,114,-45,,,,201,10000,1,0,0,0,0,0,0,0,0,"-","-",50
"iphone juice","-","-",0,"-",,,,119,4000,1,0,0,0,0,0,0,0,0,"-","-",50
"anker external battery",2,584,414,17,0.86,0.72,1.01,252,709,1,0,0,0,0,0,0,0,0,"-","-",50
"back up battery iphone","-",19,38,-12,,,,119,2000,1,0,0,0,0,0,0,0,0,"-","-",50
"small power bank",115,77,3826,-3,1.27,0.77,1.65,592,50000,1,0,0,0,0,0,0,0,0,"-","-",50
"battery pack mobile","-",0,34,-25,0.98,0.85,1.45,178,80000,1,0,0,0,0,0,0,0,0,"-","-",50
"batterie externe iphone","-",490,264,28,,,,228,539,1,0,0,0,0,0,0,0,0,"-","-",50
"solo power bank","-",27,271,30,,,,205,10000,1,0,0,0,0,0,0,0,0,"-","-",50
"wireless powerbank",5,117,469,-5,1.42,1.07,1.71,347,4000,1,0,0,0,0,0,0,0,0,"-","-",50
"nitecore power bank",64,7555,3800,19,1.24,0.97,1.5,425,503,1,0,0,0,0,0,0,0,0,"-","-",50
"anker powercharge","-",1966,342,10,,,,176,174,1,0,0,0,0,0,0,0,0,"-","-",50
"10000mah","-",88,264,2,,,,298,3000,1,0,0,0,0,0,0,0,0,"-","-",50
"anger portable charger","-",33,66,-57,,,,182,2000,1,0,0,0,0,0,0,0,0,"-","-",50
"otterbox magsafe charger",16,1457,873,9,1.26,0.95,1.74,257,599,1,0,0,0,0,0,0,0,0,"-","-",50
"mag mini charger","-",75,224,118,,,,69,3000,1,0,0,0,0,0,0,0,0,"-","-",50
"pirtable charger",11,6,438,17,1.3,1.25,1.72,336,70000,1,0,0,0,0,0,0,0,0,"-","-",50
"anker 737 power bank (powercore 24k)",5,4425,469,35,1.84,1.12,2.01,166,106,1,0,0,0,0,0,0,0,0,"-","-",50
"battery pack magnetic",18,20,591,14,1.34,0.93,1.48,296,30000,1,0,0,0,0,0,0,0,0,"-","-",50
"magnetic wireless power bank for iphone","-",243,243,23,1.23,1.04,1.42,223,1000,1,0,0,0,0,0,0,0,0,"-","-",50
"ideo magnetic power bank","-",972,246,-11,1.58,1,1.7,145,253,1,0,0,0,0,0,0,0,0,"-","-",50
"anker power bank nano",5,1923,423,-2,1.29,0.98,1.58,239,220,1,0,0,0,0,0,0,0,0,"-","-",50
"anker iphone 15 pro charger","-",78,155,-14,1.33,0.94,1.58,159,2000,1,0,0,0,0,0,0,0,0,"-","-",50
"battery pack iphone 15 pro","-",33,197,48,,,,127,6000,1,0,0,0,0,0,0,0,0,"-","-",50
"torras charger with cable","-",68,15,-41,1.72,1.55,1.89,35,222,1,0,0,0,0,0,0,0,0,"-","-",50
