"Keyword Phrase","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"power bank qi2",1,996,253,42,,,,197,254,1,0,0,0,0,0,0,0,0,"-","-",1
"anker ultra slim 10k","-",10400,364,-5,1.14,1.01,1.41,24,35,1,0,1,0,0,0,0,0,0,103,"-",1
"anker ultra slim magsafe power bank","-",204,79,-24,,,,83,388,1,0,0,0,0,0,0,0,0,"-","-",1
"anker 10k slim",6,4135,430,-1,1.2,0.93,1.32,70,104,1,0,1,0,0,0,0,0,0,105,"-",1
"anker power bank, certified 15w ultra-fast magsafe-compatible portable charger, 6,600mah battery pac","-",333,114,-38,,,,48,342,1,0,0,0,0,0,0,0,0,"-","-",1
"anker slim 10k","-",2990,305,"-",1.15,0.98,1.39,47,102,1,0,0,0,0,0,0,0,0,"-","-",1
"magsafe qi2 power bank","-",593,267,-26,,,,230,450,1,0,0,0,0,0,0,0,0,"-","-",1
"anker 334 maggo battery powercore 10k","-",2142,227,-25,,,,30,106,1,0,0,0,0,0,0,0,0,"-","-",1
"magsafe power bank qi2","-",699,276,-7,,,,213,395,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo power bank 10k slim qi2",2,2798,736,20,1.27,0.99,1.76,189,263,1,0,0,0,0,0,0,0,0,"-","-",1
"anker powebank maggo","-",380,149,34,1.15,0.84,1.17,61,392,1,0,0,0,0,0,0,0,0,"-","-",1
"anker mag go slim","-",2219,324,-1,,,,115,146,1,0,1,0,0,0,0,0,0,203,"-",1
"anker slim magsafe","-",478,141,-56,,,,169,295,1,0,0,0,0,0,0,0,0,"-","-",1
"anker magsafe maggo","-",1145,253,-7,,,,131,221,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo 10k slim","-",3057,324,18,,,,75,106,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo magnetic iphone battery","-",548,200,-12,1.45,0.97,1.71,131,365,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo slim 10k","-",1582,212,-18,,,,64,134,1,0,0,0,0,0,0,0,0,"-","-",1
"anker powerbank maggo","-",255,96,-26,,,,79,376,1,0,0,0,0,0,0,0,0,"-","-",1
"anker magsafe slim","-",978,261,-25,,,,236,267,1,0,1,0,0,0,0,0,0,175,"-",1
"anker magsafe qi2","-",946,278,4,,,,160,294,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo 10k slim power bank","-",755,271,1,,,,209,359,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo 6600","-",1015,67,-14,,,,26,66,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo power bank, ultra-slim 10,000mah magnetic battery pack","-",877,264,-10,,,,205,301,1,0,0,0,0,0,0,0,0,"-","-",1
"anker充电宝","-",547,47,-56,,,,45,86,1,0,0,0,0,0,0,0,0,"-","-",1
"anker magsafe power bank slim","-",741,274,13,,,,187,370,1,0,1,0,0,0,0,0,0,240,"-",1
"anchor mag go","-",5377,285,-4,1.08,0.93,1.23,37,53,1,0,0,0,0,0,0,0,0,"-","-",1
"anker magpro","-",887,118,33,,,,26,133,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo power bank, ultra-slim 10,000mah","-",199,54,-44,,,,92,272,1,0,0,0,0,0,0,0,0,"-","-",1
"anker mag go power bank 10k slim","-",831,212,3,,,,161,255,1,0,0,0,0,0,0,0,0,"-","-",1
"ankermag go","-",1836,112,-12,,,,15,61,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo power bank 10k slim",5,1267,408,78,,,,124,322,1,0,0,0,0,0,0,0,0,"-","-",1
"anker power bank ultra slim","-",403,95,1,,,,90,236,1,0,0,0,0,0,0,0,0,"-","-",1
"anker magsafe charger slim","-",318,110,1,,,,87,346,1,0,1,0,0,0,0,0,0,191,"-",1
"anker maggo power bank, ultra-slim","-",694,163,-26,,,,228,235,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo power bank slim","-",345,106,-48,,,,132,307,1,0,1,0,0,0,0,0,0,129,"-",1
"anker slim magsafe power bank",1,1133,461,"-",,,,243,407,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo ultra slim powerbank",4,1596,364,"-",,,,130,228,1,0,0,0,0,0,0,0,0,"-","-",1
"iisonger for magsafe battery pack - 10000mah portable","-",1530,465,9,,,,120,304,1,0,0,0,0,0,0,0,0,"-","-",1
"anker maggo power bank (10k slim)","-","-",458,"-",,,,50,0,1,0,0,0,0,0,0,0,0,"-","-",1
"anker iphone battery","-",129,100,-43,1.07,0.78,1.38,147,773,1,0,0,0,0,0,0,0,0,"-","-",2
"battery pack apple",2,12,372,-8,1.32,1.04,1.72,270,30000,1,0,0,0,0,0,0,0,0,"-","-",2
"magpack","-",21750,261,51,,,,5,12,1,0,1,0,0,0,0,0,0,314,"-",2
"anker bluetooth slim","-",1461,260,2,,,,167,178,1,0,0,0,0,0,0,0,0,"-","-",2
"anker power bank magsafe",122,12138,5887,37,1.31,1.03,1.98,397,485,1,1,1,0,0,0,0,0,0,239,3,2
"apple magsafe battery",3,156,469,4,1.51,1,1.74,291,3000,1,0,0,0,0,0,0,0,0,"-","-",2
"apple battery pack magsafe",15,630,1891,15,1.31,0.98,1.58,435,3000,1,0,1,0,0,0,0,0,0,116,"-",2
"magsafe battery anker",7,805,383,30,1.64,1.09,2.05,115,476,1,0,0,0,0,0,0,0,0,"-","-",2
"power pro go portable charger","-",98,294,3,,,,256,3000,1,0,0,0,0,0,0,0,0,"-","-",2
"anker magsafe portable charger",8,925,591,14,1.38,0.96,1.89,235,639,1,0,0,0,0,0,0,0,0,"-","-",2
"apple - magsafe battery pack","-",47,186,-36,1.32,0.97,1.6,221,4000,1,0,0,0,0,0,0,0,0,"-","-",2
"anker charger magsafe",4,538,458,"-",1.08,0.77,1.45,234,852,1,0,0,0,0,0,0,0,0,"-","-",2
"apple mag safecharger battery pack","-",214,94,-27,1.16,0.72,1.26,115,439,1,0,0,0,0,1,0,0,0,"-","-",2
"magsafe power bank apple","-",142,142,-36,1.11,0.9,1.31,165,1000,1,0,0,0,0,0,0,0,0,"-","-",2
"magsafe power bank 10000mah",6,708,447,4,1.45,0.83,1.65,317,631,1,0,1,0,0,0,0,0,0,30,"-",2
"anker qi2",11,6468,1410,-11,1.11,0.84,1.54,416,218,1,0,1,0,0,0,0,0,0,52,"-",2
"anker magsafe powerbank",3,948,423,19,1.5,1.05,1.55,234,446,1,0,0,0,0,0,0,0,0,"-","-",2
"anker magsafe charger 10000 mah","-",308,160,-4,,,,196,519,1,0,1,0,0,0,0,0,0,165,"-",2
"anker mag go 633","-",2304,265,25,,,,31,115,1,0,0,0,0,0,0,0,0,"-","-",2
"magsafe powerbank apple","-",146,115,-20,,,,115,785,1,0,0,0,0,0,0,0,0,"-","-",2
"mag go charger","-",279,279,-7,1.47,1.15,1.7,272,1000,1,0,0,0,0,0,0,0,0,"-","-",2
"anker magnetic battery samsung","-",608,206,-10,,,,57,339,1,0,0,0,0,0,0,0,0,"-","-",2
"anker 621 magnetic battery mag go","-",539,131,-5,,,,86,243,1,0,0,0,0,0,0,0,0,"-","-",2
"anker 334 maggo battery","-",2750,198,-2,1.17,1.12,1.22,30,72,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo 10k","-",1464,224,-14,1.21,0.82,1.37,58,153,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank, qi2 certified 15w ultra-fast magsafe-compatible portable charger, 10,000mah ","-",829,300,-4,1.55,1.09,1.6,196,362,1,0,0,0,0,0,0,0,0,"-","-",2
"anker qi2 power bank",3,2497,427,2,1.53,0.85,2.43,152,171,1,0,1,0,0,0,0,0,0,20,"-",2
"apple magsafe battery pack original","-",5423,282,17,,,,49,52,1,0,0,0,0,0,0,0,0,"-","-",2
"anker qi2 magsafe powerbank","-",480,223,-20,,,,212,465,1,0,1,0,0,0,0,0,0,238,"-",2
"anker qi 2","-",387,67,-26,,,,30,173,1,0,0,0,0,0,0,0,0,"-","-",2
"wireless portable charger iphone magsafe","-",50,100,-21,,,,102,2000,1,0,0,0,0,0,0,0,0,"-","-",2
"magnetic power bank, 20000mah wireless portable charger iphone anker",10,1556,470,34,1.43,0.92,1.45,180,302,1,0,0,0,0,0,0,0,0,"-","-",2
"qmagx powerbank","-",1316,150,-26,,,,82,114,1,0,0,0,0,0,0,0,0,"-","-",2
"anker mag safe power bank","-",310,136,-2,,,,72,439,1,0,0,0,0,0,0,0,0,"-","-",2
"thin anker power bank","-",56,111,2,,,,87,2000,1,0,1,0,0,0,0,0,0,208,"-",2
"magsafe 3 power bank slim","-",434,184,-19,,,,244,424,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank 10k qi2","-",1048,303,7,1.34,0.78,1.81,166,289,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo magnetic power bank","-",95,49,-32,,,,95,517,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo qi 2","-",803,102,-7,,,,30,127,1,0,0,0,0,0,0,0,0,"-","-",2
"bestmars magnetic power bank","-",304,70,22,,,,103,230,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank (10k, 35w, for apple watch)","-",2126,321,6,,,,152,151,1,0,0,0,0,0,0,0,0,"-","-",2
"anker power bank qi","-",1059,339,15,,,,258,320,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo qi2 power bank 10k with smart display",8,5818,1408,1,1.38,0.93,1.71,259,242,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank qi2 certified 15w ultra-fast 6600mah magsafe portable charger","-",863,272,22,1.27,0.9,1.34,192,315,1,0,0,0,0,0,0,0,0,"-","-",2
"anker a1652","-",33750,135,-16,,,,2,4,1,0,0,0,0,0,0,0,0,"-","-",2
"anker magsafe charger qi2","-",840,205,3,,,,103,244,1,0,0,0,0,0,0,0,0,"-","-",2
"anker powebank maggo, certificado qi2 de carga ultra rápida de 15w compatible con magsafe,10000mah c","-",1108,317,12,1.46,1.31,1.62,190,286,1,0,0,0,0,0,0,0,0,"-","-",2
"anker mac go power bank","-",1047,292,17,,,,169,279,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank stand 6.6k qi2","-",846,203,-6,,,,94,240,1,0,0,0,0,0,0,0,0,"-","-",2
"mac go power bank anker","-",340,64,-37,,,,66,188,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo 6,6000mah qi2 power bank","-",682,221,-8,,,,136,324,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo 6.6k","-",15100,151,-10,,,,30,10,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank for apple watch","-",501,187,"-",,,,105,373,1,0,0,0,0,0,0,0,0,"-","-",2
"ankor mag go","-",2459,209,-18,1.1,0.79,1.28,48,85,1,0,0,0,0,0,0,0,0,"-","-",2
"mag-safe anker wireless power bank","-",210,113,-40,,,,204,538,1,0,0,0,0,0,0,0,0,"-","-",2
"anker slim phone charger","-",259,166,-7,,,,140,642,1,0,0,0,0,0,0,0,0,"-","-",2
"qi2 portable charger","-",607,227,29,,,,98,374,1,0,0,0,0,0,0,0,0,"-","-",2
"anker magpro power bank","-",670,299,-5,,,,229,446,1,0,0,0,0,0,0,0,0,"-","-",2
"anker mango power bank","-",589,176,-23,,,,160,299,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo 10k power bank","-",645,211,33,,,,134,327,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank (5k, slim)","-",1175,242,4,,,,152,206,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank (5k, slim) – white","-",686,107,-45,,,,95,156,1,0,0,0,0,0,0,0,0,"-","-",2
"anker magnetic maggo","-",438,169,-6,,,,161,386,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank (5k, slim) – blue","-",1673,271,29,,,,136,162,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank 5k slim","-",975,199,-12,,,,168,204,1,0,0,0,0,0,0,0,0,"-","-",2
"anker qi2 maggo power bank(10k)","-",752,234,-34,1.5,0.98,1.98,125,311,1,0,0,0,0,0,0,0,0,"-","-",2
"anker qi2 maggo power bank","-",830,302,-15,1.84,0.92,2,144,364,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo power bank 5k, slim",4,2369,469,-8,1.47,0.87,1.68,141,198,1,0,0,0,0,0,0,0,0,"-","-",2
"anker qi2 maggo power bank (10k)","-",710,211,-19,,,,175,297,1,0,0,0,0,0,0,0,0,"-","-",2
"anker powercore 10000 slim","-",972,205,28,1.56,1.16,2.32,87,211,1,0,0,0,0,0,0,0,0,"-","-",3
"anker 10000mah power bank",34,3073,1822,15,1.65,1.2,1.97,396,593,1,0,1,0,0,0,0,0,0,5,"-",3
"anker ultra compact slim profile","-",3065,331,52,,,,41,108,1,0,0,0,0,0,0,0,0,"-","-",3
"native union power bank","-",1300,260,-16,1.1,0.84,1.55,179,200,1,0,0,0,0,0,0,0,0,"-","-",3
"anker magsafe charger",638,33003,28548,10,0.79,0.53,1.08,401,865,1,0,1,0,0,0,0,0,0,77,"-",3
"apple magsafe battery pack",35,837,2511,9,1.23,0.82,1.52,416,3000,1,0,1,0,0,1,0,0,0,94,"-",3
"apple magsafe power bank",4,5293,487,6,1.33,1.03,1.63,111,92,1,0,0,0,0,0,0,0,0,"-","-",3
"iphone battery pack magsafe",73,679,2036,11,1.35,0.88,1.45,490,3000,1,0,1,0,0,1,0,0,0,57,"-",3
"power pro go","-",6,174,66,,,,186,30000,1,0,0,0,0,0,0,0,0,"-","-",3
"anker portable charger magsafe",16,1166,737,32,1.41,0.92,1.87,229,632,1,0,0,0,0,0,0,0,0,"-","-",3
