商品名称,商品缩略图,商品链接,国家、地区,商品价格最大值,商品价格最小值,商品星级,店铺商标链接,店铺链接,店铺名称,店铺销量,店铺商品数,商品类目-en,商品类目-zh,商品评论数,销量环比,带货达人数,上架时间,运费（预设目的地为纽约）,销量,销售额,运营模式
Replace HEPA Filter Edge Brush Accessories for Life K2 K4 M210 M210S M210B M213 Robot Vacuum Cleaner,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/5d725081-692e-4c77-bd34-5a61b90e56a7.jpeg,https://shop.tiktok.com/view/product/1729418598750195918?region=US&local=en,美国,16.10,16.10,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/d653892b-cf4d-46a9-bb68-57556ff1e51a.jpeg,aweme://ec/store?sellerId=7495399646111500494&url_maker=store_rpc&store_page_version=1,Wonder home,300,2,Kitchenware,厨房用品,0,,0,2024-05-14,$0.00,,,
"Dreametech D10s Plus Robot Vacuum & Mop: Customizable APP, Powerful 5000Pa Suction, 65 Days Automatic Dust Collection, Long Lasting Battery, LIDAR Navigation",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/d752a7b2-7dfc-4a6b-a2da-24d1cd5dde24.jpeg,https://shop.tiktok.com/view/product/1729419783002165488?region=US,美国,399.00,399.00,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/e2f2db8e-ade6-4e2a-90d0-ad29a2aac3c0.jpeg,aweme://ec/store?sellerId=7495200957773678832&url_maker=store_rpc&store_page_version=1,Robot Vacuums,17,1,Household Appliances,家电,0,,7,2024-05-13,$0.00,,,
"Sweeping Robot Replacement Brush, 1 Set Edge Sweeping Brush Compatible With IRobot E & I Series I7 I7+ I3 I4 I6 I6+ I8 I8+Plus E5 E6 E7, Vacuum Cleaner Accessories",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/7125b5ec-5bae-4a77-858d-1bf29969f797.jpeg,https://shop.tiktok.com/view/product/1729425241955799543?region=US,美国,2.70,2.70,5,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/ad8b5ca1-113e-49b4-a620-02e2616b5831.jpeg,aweme://ec/store?sellerId=8646932998681891319&url_maker=store_rpc&store_page_version=1,Care Of Future,147312,86,Household Appliances,家电,1,,0,2024-05-11,$7.99,,,全托管
Shark Detect Pro Self-Empty Robot Vacuum,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/ce220853-2357-4bc5-a403-ccb720e23c21.jpeg,https://shop.tiktok.com/view/product/1729425275409371824?region=US,美国,599.99,599.99,2.5,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/6899d71b-91d5-4e3f-8b35-71a013142185.jpeg,aweme://ec/store?sellerId=7495445983518362288&url_maker=store_rpc&store_page_version=1,Shark Home,27760,42,Household Appliances,家电,2,,829,2024-01-31,$0.00,,,
"eufy by Anker BoostIQ RoboVac 11S(Slim), Robot Vacuum Cleaner, Super-Thin, Powerful Suction, Quiet, Self-Charging Robotic Vacuum Cleaner,Cleans Hard Wood Floors to Medium Pile Carpets.",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/43f6cc59-705c-46db-82c2-f95b8b96e3e4.jpeg,https://shop.tiktok.com/view/product/1729428894733144787?region=US,美国,119.99,119.99,4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/601737d2-f5d8-4a5f-aca3-67a24d8ecb81.jpeg,aweme://ec/store?sellerId=7495497644724161235&url_maker=store_rpc&store_page_version=1,MSR TRADING GROUP,79,5,Household Appliances,家电,7,,43,2024-11-28,$0.00,,,
"Smart Robot Vacuum Cleaner, USB Rechargeable Cordless Vacuum Cleaner, Household Cleaning Machine for Bedroom & Living Room & Kitchen, Stocking Fillers Gift",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/20fc133f-5662-4fd2-92d8-1b8a9b73bdc6.jpeg,https://shop.tiktok.com/view/product/1729430769969631614?region=US,美国,33.80,24.68,3.4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/c55b51f7-51e5-46ad-b100-2ac12f07f4d8.jpeg,aweme://ec/store?sellerId=8647015672895869310&url_maker=store_rpc&store_page_version=1,J Small appliances,69,0,Household Appliances,家电,8,,28,2024-02-28,$7.99,,,全托管
DreameBot L10 Pro Robot Vacuum and Mop - Black,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/9d52f4a7-6e46-43bb-86bb-a86875d9bcbd.jpeg,https://shop.tiktok.com/view/product/1729432805797499529?region=US,美国,259.99,259.99,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/c9e278b6-2908-429b-98a9-31321eb2b347.jpeg,aweme://ec/store?sellerId=7495490562644871817&url_maker=store_rpc&store_page_version=1,Haus Of Tre Li,92,0,Household Appliances,家电,0,,2,2024-05-07,$0.00,,,
DreameBot W10 Self-Cleaning Robot Vacuum and Mop - White,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/a2751261-7981-4cb2-9d24-d7d552a52594.jpeg,https://shop.tiktok.com/view/product/1729432818566533769?region=US,美国,899.99,899.99,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/c9e278b6-2908-429b-98a9-31321eb2b347.jpeg,aweme://ec/store?sellerId=7495490562644871817&url_maker=store_rpc&store_page_version=1,Haus Of Tre Li,92,0,Household Appliances,家电,0,,2,2024-05-07,$0.00,,,
"Cordless Pool Vacuum, Robotic Pool Cleaner Dual Motors Strong Suction, 120 Mins Runtime, Auto-Dock, Rechargeable Portable Pool Cleaner Robot for Above/In-Ground Flat Pools up to 1000 Sq.Ft",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/660fbeb5-af34-493a-920e-5691cbe7096c.jpeg,https://shop.tiktok.com/view/product/1729432867409597171?region=US,美国,99.88,99.88,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/a6ca10d8-64d2-4e6a-a1e5-619eed61511f.jpeg,aweme://ec/store?sellerId=7495425153725860595&url_maker=store_rpc&store_page_version=1,TOP PICK SHOPP,9013,98,Household Appliances,家电,0,,6,2024-01-25,,,,
"Vactidy Nimble T8 Robot Vacuum and Mop Combo,Upgraded Navigation and Obstacle Avoidance, 3000Pa Power Suction, WiFi/App/Alexa/Siri Control, Robotic Vacuum Cleaner with Gyro Navigation, Self-Charging, Slim, Good for Hard Floor, Pet Hair, Carpet",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/dcbdedce-e175-493c-be43-b063d231d585.jpeg,https://shop.tiktok.com/view/product/1729435044854403990?region=US,美国,279.00,279.00,3,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/af43365c-6bf8-4924-b7bc-002dce923438.jpeg,aweme://ec/store?sellerId=7495529548545624982&url_maker=store_rpc&store_page_version=1,Vactidy Boutique Shop,1940,0,Household Appliances,家电,4,,52,2024-01-30,,,,
