视频封面,主营类目,视频链接,视频标题,达人名称,达人账号,达人主页,达人头像,点赞数,播放量,评论数,收藏数,互动率（百分比）,视频时长（秒）,发布日期,视频销量,视频销售额,commodityId,商品头像,商品名称,商品价格,商品星级,商品类目,commodityCategoryCn,商品销量,商品销售额
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/687de95b-4a91-4ca8-8c03-4159d74df3ef.jpeg,Household Appliances,https://www.tiktok.com/@justadadvideos/video/7504063033602362655,eufy c20 honest testing robot vacuum and mop #robotvacuumcleaner #vacuumcleaner #justadadvideos #mopping #eufy #eufyclean @eufy US @eufyhome US @eufyclean ,Just A DAD,justadadvideos,https://www.tiktok.com/@justadadvideos,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/17f50fba-3291-46b8-a7ec-69094db32170.jpeg,21,3065,0,5,0.91,200,2025-05-14 06:37:24,0,0,1729699897869898512,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/bbc57fbe-ba58-4dde-852f-d4c1feb64be4.jpeg,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo, Self Emptying, Auto Mop Washing and Auto Drying for hands-free cleaning, 3.35-Inch Ultra-Slim Body, 7000 Pa Powerful Suction, All-in-One Station｜Spingtok",479.99,4.2,Household Appliances,家电,2035,976779.65
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/7726499f-f42c-4980-a168-253ad5176dbf.jpeg,Household Appliances,https://www.tiktok.com/@martins_breaks/video/7495506585800690990,#robot #robotvacuumcleaner #vacuum #vacuums #vacuumcleaner #vacuumcleaners #mop #ttslevelup #tiktokshopfinds #tiktokshoprestock  Get this robot Vacuum Cleaner today ,The Shop,martins_breaks,https://www.tiktok.com/@martins_breaks,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/e96aba39-7e16-4252-a671-1f565131dffb.jpeg,8,3015,0,2,0.43,49,2025-04-21 05:14:14,0,0,1730299210491532048,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/7449ed40-27fe-4109-994c-6ff0bd1bbedc.jpeg,"【eufylive】eufy C20 Omni Robot Vacuum, Robot Vacuum and Mop Combo, Self Emptying, Auto Mop Washing and Auto Drying for hands-free cleaning, 3.35-Inch Ultra-Slim Body, 7000 Pa Powerful Suction, All-in-One Station｜Spingtok",479.99,4.5,Household Appliances,家电,422,202555.78
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/5c9a6267-b6f8-4eed-bc02-21fc6079dda0.jpeg,Household Appliances,https://www.tiktok.com/@lacasadelosfamososlajefa/video/7502063543945104671,BPMIO Robot Vacuum and Mop Com . #Ticktockshop ,"LA CASA DE LOS,FAMOSOS",lacasadelosfamososlajefa,https://www.tiktok.com/@lacasadelosfamososlajefa,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/4737bf01-7996-4f2d-a1a2-21ceb48a3502.jpeg,6,2997,0,0,0.2,23,2025-05-08 21:18:17,0,0,1730562632372294566,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/97e2ec69-0e70-4210-ac1d-477940ad99d9__1730562632372294566.jpeg,"BPMIO Robot Vacuum and Mop Combo, 5500Pa Strong Suction, LiDAR Navigation with Smart Mapping, 120-Min Runtime, Custom Cleaning Schedule, Alexa & WiFi/App Compatible, Ideal for Pet Hair & Hard Floors",102.99,4.4,Household Appliances,家电,3135,322873.65
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/97afe91d-cf71-4c85-84c0-f7e1e559c31e.jpeg,Household Appliances,https://www.tiktok.com/@motherhoodonpurpose/video/7501704950259617070,Almost half off right now‼️ If a robot vacuum has been on your wish list- there’s no better time to get it than now! @eufy US #eufyc10 #eufyofficial #eufyselfemptyc10 #eufyautoemptyc10 #eufy #eufyrobotvacuum #CleanTok #cleaningtiktok #cleaning #homehacks #springtok #selfemptystation #robotvacuum #springclean #mothersdaygiftideas ,Motherhood On Purpose {Terena},motherhoodonpurpose,https://www.tiktok.com/@motherhoodonpurpose,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/52922032-6b97-45b7-828f-6e0bb4e9dc40.jpeg,6,2932,1,3,0.34,45,2025-05-07 22:07:33,0,0,1730897177105830672,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/b5635674-afd3-40e8-97d1-f0a129cadbfa__1730897177105830672.jpeg,"eufy C10 Robot Vacuum with Self Emptying Station, Up to 60 Days Hands Free Cleaning, Edge Expansion Brush, 2.85-Inch Ultra-Slim Body, Smart Mapping, Point Laser and Multi-Infrared Navigation",299.99,0,Household Appliances,家电,17,5099.83
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/ecda5c21-1d30-4838-bf69-ece473b142e2.jpeg,Household Appliances,https://www.tiktok.com/@eufyhome/video/7494075611753827615,"If you haven’t bought this robot vacuum, you definitely need to get one!  #cleaningtiktok #springsale #CleanTok #cleaninginspo #robotvaccuum #cleaningmusthaves #eufyclean #eufy ",eufyhome US,eufyhome,https://www.tiktok.com/@eufyhome,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/017773aa-d9ba-480e-a35a-9c02bc3eac67.jpeg,21,2900,3,6,1.21,31,2025-04-17 08:41:10,0,0,1730847308914332432,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/92b8d48e-3a14-4ca0-aab3-8b195b0317a1__1730847308914332432.jpeg,"【eufylive】eufy X10 Pro Omni Robot Vacuum and Mop with 8,000 Pa Suction, Dual Mops with 12 mm Auto-Lift and Carpet Detection, AI Obstacle Avoidance, Auto Mop Washing, Auto Drying, Self-Emptying, Self-Refilling｜Spingtok",699.99,3,Household Appliances,家电,30,20999.7
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/c33a8217-2aa8-459a-bc45-6430eb31228b.jpeg,Household Appliances,https://www.tiktok.com/@neonmaila/video/7504396779442457886,"Karcher RCV 5 Robot Vacuum Cleaner With WipingFunction Keep your floors spotless with the Karcher RCV 5 robot vacuum cleaner. This smart device vacuums and mops, making it perfect for both hard floors and carpets. With advanced obstacle detection and the ability to map multiple floors, it helps to ensure a thorough clean every time. Control and customize your cleaning schedules with ease using the Karcher Home Robots app. From Karcher. • Includes Karcher robot vacuum cleaner RCV 5, docking station, freshwater tank, dust container, two side brushes, two filters, and two microfiber cleaning cloths#Karcher #RCV5RobotVacuumCleaner With #WipingFunction #fy#fyp #creatorsearchinsights #trending #sale #viralvideo#springtok #TikTokShopRestock #spotlightfinds #QVCTikTokSuperBrandDay",NeonMaila,neonmaila,https://www.tiktok.com/@neonmaila,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/db6cacf8-fdaf-4fcb-b639-4bc9ea3274b7.jpeg,6,2898,0,0,0.21,206,2025-05-15 04:12:24,0,0,1731097627784090567,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/d243fc60-1488-48ee-82b5-21452440b15b.jpeg,Karcher RCV 5 Robot Vacuum Cleaner With WipingFunction,834.99,0,Household Appliances,家电,0,0
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/4d5d113d-d15a-4367-9ea3-8a76e95438f1.jpeg,Household Appliances,https://www.tiktok.com/@kennyshopsalot/video/7502060900275211550,I call it self-care. My robot vacuum calls it a shift @eufy US  #eufyC10 #eufy #eufyrobotvacuum #eufyselfemptyC10 #selfemptystation #selfemptying #robotvacuum #CleanTok #cleaningtiktok #cleaning #homehacks,k e n d r a 🤎,kennyshopsalot,https://www.tiktok.com/@kennyshopsalot,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/ac1eb876-cd5c-44a9-8d4c-a48f77e1b8bd.jpeg,45,2828,10,11,2.37,56,2025-05-08 21:08:00,0,0,1730897177105830672,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/b5635674-afd3-40e8-97d1-f0a129cadbfa__1730897177105830672.jpeg,"eufy C10 Robot Vacuum with Self Emptying Station, Up to 60 Days Hands Free Cleaning, Edge Expansion Brush, 2.85-Inch Ultra-Slim Body, Smart Mapping, Point Laser and Multi-Infrared Navigation",299.99,0,Household Appliances,家电,17,5099.83
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/5522c867-a507-42c9-8b96-e92e106dc29e.jpeg,Household Appliances,https://www.tiktok.com/@eufyofficial/video/7503597572980837662,Time to level up your cleaning game! 🏡 The Omni C20 Robot Vacuum is now on sale--don't sleep on this deal!🧹👏 #fy #fyp #eufy #eufyc20 #eufyomnic20 #eufyrobotvacuum #robotvacuum #mopvacuum #CleanTok #TikTokShop #vacuum #sale #musthave #tech ,eufy US,eufyofficial,https://www.tiktok.com/@eufyofficial,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/0bc0f826-6d7f-4c76-a855-1c2d769916b1.jpeg,16,2797,0,0,0.61,45,2025-05-13 00:31:31,0,0,1729699897869898512,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/bbc57fbe-ba58-4dde-852f-d4c1feb64be4.jpeg,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo, Self Emptying, Auto Mop Washing and Auto Drying for hands-free cleaning, 3.35-Inch Ultra-Slim Body, 7000 Pa Powerful Suction, All-in-One Station｜Spingtok",479.99,4.2,Household Appliances,家电,2035,976779.65
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/8e2763f6-ed60-43f6-a331-bc9ddeb9611b.jpeg,Household Appliances,https://www.tiktok.com/@imikieshow/video/7500757850658966827,This 3 in 1 SWEEP MOP VACUUM ROBOT is now 50% off! #vacuumrobot #moprobot #cleanrobot #aivacuum #3in1robotmop #lifehighlights #TikTokShop #marketplace #foryoupage #imikie #imikieshow ,iMikieShow,imikieshow,https://www.tiktok.com/@imikieshow,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/40b835b3-a122-47cf-baa9-37e56f4d2e2a.jpeg,12,2780,0,1,0.47,68,2025-05-05 08:51:45,0,0,1730978241719865462,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/48769cde-16f2-45f4-a6a1-30f5093e7ce9__1730978241719865462.jpeg,"2 in1 Self-Charging Robot Vacuum & Mop Combo,1500 pa Max, Schedule Clean,USB Recharge, for Pet Hair, Carpet, ABS Material",89.90,3.5,Household Appliances,家电,107,9619.3
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/f82e0926-9261-46a8-85c5-38dd7f6bac6b.jpeg,Household Appliances,https://www.tiktok.com/@luxshopz/video/7504070452252380458,This robot vacuum mop is actually a game changer 🙌 #eureka #eurekavacuum #robovac #vacuum #vacuumcleaner #ttshopdeals ,LUXShopz,luxshopz,https://www.tiktok.com/@luxshopz,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/748c9047-f3fb-4896-bf82-d73dd0c8257c.jpeg,11,2681,1,4,0.71,58,2025-05-14 07:06:06,0,0,1729496943480050457,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/6f03cbeb-2f74-45d0-86bc-91842775a444__1729496943480050457.jpeg,"Eureka E10s Robot Vacuum with Bagless Self Emptying Station, Robotic Vacuum Mop Combo, 45-Day Capacity, 4000Pa Suction for Pet Hair, Remote control 2 in 1 home appliance, All-in-One Sweeping and Mopping Robot cleaner Springtok",306.69,4.4,Household Appliances,家电,319,97562.96
