"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@IsmailmitiuAbidemi","false","UgxFsJZfwdsj0m0lfal4AaABAg","Are you giving away your demo  vacuum to your subscribers?","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","0"
"@Jessicaslife43","false","UgwSQKFDg3vUM0J1K794AaABAg","7000PA?   I didn't know it was pronounced Pascals until I watched this.  Not bad.","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","0"
"@onidamensing3398","false","Ugx-flvaWuUWaeC17Bl4AaABAg","How old are you watson?  How is Kelly and the kids?","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","0"
"@ByValentineLewis","true","UgzrEcqW-ekQjpCAS1h4AaABAg.AG76iwkojxJAG8LzASVLoP","Thank you so much!💜","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","UgzrEcqW-ekQjpCAS1h4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","UgxNybyfKgTnSx-lMeF4AaABAg.AG7tKFPKinwAG8LprBe-NZ","Thanks for watching! 😊💜🐙","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","UgxNybyfKgTnSx-lMeF4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","UgxObyVmo5F2vLtJgh14AaABAg.AG76it5WZgPAG8M-5MR3Uq","Thank you so much!💜","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","UgxObyVmo5F2vLtJgh14AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","Ugzv4a7vKFWH54q5OL94AaABAg.AG73rmQZt-iAG8M2Zyuix_","Thanks for watching!","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugzv4a7vKFWH54q5OL94AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","UgxXnewsWL8zm7MxhRZ4AaABAg.AG7t-C-qj80AG8Lr0zZj-v","😊💜🐙","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","UgxXnewsWL8zm7MxhRZ4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","UgyQ53Y6lzOLy_gKuUZ4AaABAg.AG7tm-5HoSdAG8LpWbGsaB","😊💜🐙","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","UgyQ53Y6lzOLy_gKuUZ4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","Ugx-6tUZ8-wgcYui7aF4AaABAg.AG76jd_xpC3AG8LyR0oHkl","It is!","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugx-6tUZ8-wgcYui7aF4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","UgxJhRSLM2UJ9asGGLR4AaABAg.AG74TtDDsEeAG8M0K3SA6S","Yes! Absolutely! 💜","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","UgxJhRSLM2UJ9asGGLR4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@klaraprice2355","false","UgyuO_c51rNZbb2YiO14AaABAg","Yessss! This is Nice!","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@RhiannaHunter-ll2ny","false","UgwAPq0Oa3meqj2kEoh4AaABAg","😍😘💕💕💕💕💕","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@jackglossop4859","false","Ugx9IBVV7MenJjuDkBJ4AaABAg","263 likes. You sure this is making you $50,000 a month love? Hahahahah 😂","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","0"
"@rosiedixon6112","false","Ugz5pmDlAhDXbXLDkW54AaABAg","D O P E 🚣 🕳 🌹 🦂 🛌 👬","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@ByValentineLewis","true","UgyuO_c51rNZbb2YiO14AaABAg.AG5p82KiRZ4AG5zhkcHpDJ","Thank you so much!💜","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","0","UgyuO_c51rNZbb2YiO14AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","UgwAPq0Oa3meqj2kEoh4AaABAg.AG5q4OA8fd-AG5zXxKKoiw","😊💜🐙","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","0","UgwAPq0Oa3meqj2kEoh4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","Ugx9IBVV7MenJjuDkBJ4AaABAg.AG8O2U5vEj_AG8SHRO5rNL","Dear Karen, learn how youtube works, unfortunately for you, yes, I'm sure 😂","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugx9IBVV7MenJjuDkBJ4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","3"
"@ByValentineLewis","true","Ugz5pmDlAhDXbXLDkW54AaABAg.AG5orAHi61TAG5zj2eAJg4","😊💜🐙","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","0","Ugz5pmDlAhDXbXLDkW54AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
